color;director_name;duration;gross;genres;movie_title;title_year;language;country;budget;imdb_score;actors;movie_facebook_likes;;
COLOR;MARTIN SCORSESE;240;116866727.0;BIOGRAPHY;THE WOLF OF WALL STREET;2013;ENGLISH;USA;100000000.0;8.2;"""LEONARDO DICAPRIO";MATTHEW MCCONAUGHEY;"JON FAVREAU""";138000
COLOR;MARTIN SCORSESE;240;116866727.0;COMEDY;THE WOLF OF WALL STREET;2013;ENGLISH;USA;100000000.0;8.2;"""LEONARDO DICAPRIO";MATTHEW MCCONAUGHEY;"JON FAVREAU""";138000
COLOR;MARTIN SCORSESE;240;116866727.0;CRIME;THE WOLF OF WALL STREET;2013;ENGLISH;USA;100000000.0;8.2;"""LEONARDO DICAPRIO";MATTHEW MCCONAUGHEY;"JON FAVREAU""";138000
COLOR;MARTIN SCORSESE;240;116866727.0;DRAMA;THE WOLF OF WALL STREET;2013;ENGLISH;USA;100000000.0;8.2;"""LEONARDO DICAPRIO";MATTHEW MCCONAUGHEY;"JON FAVREAU""";138000
COLOR;SHANE BLACK;195;408992272.0;ACTION;IRON MAN 3;2013;ENGLISH;USA;200000000.0;7.2;"""ROBERT DOWNEY JR.";JON FAVREAU;"DON CHEADLE""";95000
COLOR;SHANE BLACK;195;408992272.0;ADVENTURE;IRON MAN 3;2013;ENGLISH;USA;200000000.0;7.2;"""ROBERT DOWNEY JR.";JON FAVREAU;"DON CHEADLE""";95000
COLOR;SHANE BLACK;195;408992272.0;SCI-FI;IRON MAN 3;2013;ENGLISH;USA;200000000.0;7.2;"""ROBERT DOWNEY JR.";JON FAVREAU;"DON CHEADLE""";95000
COLOR ;QUENTIN TARANTINO;187;54116191.0;CRIME;THE HATEFUL EIGHT;2015;ENGLISH;USA;44000000.0;7.9;"""CRAIG STARK";JENNIFER JASON LEIGH;"ZOË BELL""";114000
COLOR ;QUENTIN TARANTINO;187;54116191.0;DRAMA;THE HATEFUL EIGHT;2015;ENGLISH;USA;44000000.0;7.9;"""CRAIG STARK";JENNIFER JASON LEIGH;"ZOË BELL""";114000
COLOR ;QUENTIN TARANTINO;187;54116191.0;MYSTERY;THE HATEFUL EIGHT;2015;ENGLISH;USA;44000000.0;7.9;"""CRAIG STARK";JENNIFER JASON LEIGH;"ZOË BELL""";114000
